id,title,original_title,original_language,status,release_date,budget,revenue,runtime,vote_average,vote_count,popularity,genres,production_countries,overview,poster_path,adult,release_year,release_month,release_quarter,release_day_of_week,budget_original,revenue_original,profit,roi,profit_margin,is_profitable,budget_million,revenue_million,profit_million,budget_category,main_genre,main_country,decade,season
27205,Inception,Inception,en,Released,2010-07-15,201600000.0,1040171282.64,148,8.364,34495,83.952,"Action, Science Fiction, Adventure","United Kingdom, United States of America","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",/oYuLEt3zVCKq57qu2F8dT7NIa6f.jpg,False,2010.0,7.0,3.0,3.0,160000000,825532764,838571282.64,4.159579775,80.6185766359238,1,201.6,1040.17128264,838.5712826399999,Blockbuster (>100M),Action,GB,2010.0,Été
157336,Interstellar,Interstellar,en,Released,2014-11-05,189750000.0,806988586.9,169,8.417,32571,140.241,"Adventure, Drama, Science Fiction","United Kingdom, United States of America",The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,False,2014.0,11.0,4.0,2.0,165000000,701729206,617238586.9,3.2529042787878786,76.48665630713396,1,189.75,806.9885869,617.2385869,Blockbuster (>100M),Adventure,GB,2010.0,Automne
155,The Dark Knight,The Dark Knight,en,Released,2008-07-16,236800000.0,1285834808.32,152,8.512,30619,130.643,"Drama, Action, Crime, Thriller","United Kingdom, United States of America","Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",/qJ2tW6WMUDux911r6m7haRef0WH.jpg,False,2008.0,7.0,3.0,2.0,185000000,1004558444,1049034808.3199999,4.430045643243243,81.58394853928479,1,236.8,1285.8348083199999,1049.03480832,Blockbuster (>100M),Drama,GB,2000.0,Été
19995,Avatar,Avatar,en,Released,2009-12-15,303360000.0,3742343713.28,162,7.573,29815,79.932,"Action, Adventure, Fantasy, Science Fiction","United States of America, United Kingdom","In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",/kyeqWdyUXW608qlYkRqosgbbJyK.jpg,False,2009.0,12.0,4.0,1.0,237000000,2923706026,3438983713.28,11.336312345991562,91.8938498640971,1,303.36,3742.3437132800004,3438.9837132800003,Blockbuster (>100M),Action,US,2000.0,Hiver
24428,The Avengers,The Avengers,en,Released,2012-04-25,261800000.0,1807390462.85,143,7.71,29166,98.082,"Science Fiction, Action, Adventure",United States of America,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,False,2012.0,4.0,2.0,2.0,220000000,1518815515,1545590462.85,5.903706886363636,85.5150281369097,1,261.8,1807.39046285,1545.59046285,Blockbuster (>100M),Science Fiction,US,2010.0,Printemps
293660,Deadpool,Deadpool,en,Released,2016-02-09,66119999.99999999,892733999.9999999,108,7.606,28894,72.735,"Action, Adventure, Comedy",United States of America,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",/zq8Cl3PNIDGU3iWNRoc5nEZ6pCe.jpg,False,2016.0,2.0,1.0,1.0,58000000,783100000,826613999.9999999,12.501724137931035,92.59353850083004,1,66.11999999999999,892.7339999999999,826.6139999999999,Gros (50-100M),Action,US,2010.0,Hiver
299536,Avengers: Infinity War,Avengers: Infinity War,en,Released,2018-04-25,327000000.0,2237132392.51,149,8.255,27713,154.34,"Adventure, Action, Science Fiction",United States of America,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,False,2018.0,4.0,2.0,2.0,300000000,2052415039,1910132392.5100002,5.841383463333334,85.38307338918305,1,327.0,2237.13239251,1910.1323925100003,Blockbuster (>100M),Adventure,US,2010.0,Printemps
550,Fight Club,Fight Club,en,Released,1999-10-15,106470000.0,170442842.57,139,8.438,27238,69.498,Drama,United States of America,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,False,1999.0,10.0,4.0,4.0,63000000,100853753,63972842.56999999,0.6008532222222221,37.53331122937983,1,106.47,170.44284256999998,63.97284256999999,Blockbuster (>100M),Drama,US,1990.0,Automne
118340,Guardians of the Galaxy,Guardians of the Galaxy,en,Released,2014-07-30,195499999.99999997,888693089.9999999,121,7.906,26638,33.255,"Action, Science Fiction, Adventure",United States of America,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",/r7vmZjiyZw9rpJMQJdXpjgiCOk9.jpg,False,2014.0,7.0,3.0,2.0,170000000,772776600,693193089.9999999,3.545744705882353,78.00140428682752,1,195.49999999999997,888.6930899999999,693.1930899999999,Blockbuster (>100M),Action,US,2010.0,Été
680,Pulp Fiction,Pulp Fiction,en,Released,1994-09-10,16235000.0,408549000.0,154,8.488,25893,74.862,"Thriller, Crime",United States of America,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",/d5iIlFn5s0ImszYzBPb8JPIfbXD.jpg,False,1994.0,9.0,3.0,5.0,8500000,213900000,392314000.0,24.16470588235294,96.02618045815802,1,16.235,408.549,392.314,Moyen (10-50M),Thriller,US,1990.0,Automne
13,Forrest Gump,Forrest Gump,en,Released,1994-06-23,105050000.0,1293810537.56,142,8.477,25409,92.693,"Comedy, Drama, Romance",United States of America,"A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",/arw2vcBveWOVZr6pxd9XTd1TdQa.jpg,False,1994.0,6.0,2.0,3.0,55000000,677387716,1188760537.56,11.31614029090909,91.88057316350861,1,105.05,1293.8105375599998,1188.7605375599999,Blockbuster (>100M),Comedy,US,1990.0,Été
671,Harry Potter and the Philosopher's Stone,Harry Potter and the Philosopher's Stone,en,Released,2001-11-16,197500000.0,1542831369.0,152,7.916,25379,185.482,"Adventure, Fantasy","United Kingdom, United States of America","Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard—with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths—and about the villain who's to blame.",/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,False,2001.0,11.0,4.0,4.0,125000000,976475550,1345331369.0,6.8118044,87.1988602274783,1,197.5,1542.831369,1345.331369,Blockbuster (>100M),Adventure,GB,2000.0,Automne
1726,Iron Man,Iron Man,en,Released,2008-04-30,179200000.0,749023004.16,126,7.64,24874,72.897,"Action, Science Fiction, Adventure",United States of America,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",/78lPtwv72eTNqFW9COBYI0dWDJa.jpg,False,2008.0,4.0,2.0,2.0,140000000,585174222,569823004.16,3.179815871428571,76.07550115220215,1,179.2,749.0230041599999,569.82300416,Blockbuster (>100M),Action,US,2000.0,Printemps
68718,Django Unchained,Django Unchained,en,Released,2012-12-25,119000000.0,506188203.21999997,165,8.171,24672,54.224,"Drama, Western",United States of America,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",/7oWY8VDWW7thTzWh3OKYRkWUlD5.jpg,False,2012.0,12.0,4.0,1.0,100000000,425368238,387188203.21999997,3.25368238,76.49095746542316,1,119.0,506.18820322,387.18820322,Blockbuster (>100M),Drama,US,2010.0,Hiver
278,The Shawshank Redemption,The Shawshank Redemption,en,Released,1994-09-23,47750000.0,54132205.79,142,8.702,24649,122.61,"Drama, Crime",United States of America,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",/lyQBXzOQSuE59IsHyhrp0qIiPAz.jpg,False,1994.0,9.0,3.0,4.0,25000000,28341469,6382205.789999999,0.13365876,11.790034595595591,1,47.75,54.13220579,6.3822057899999995,Moyen (10-50M),Drama,US,1990.0,Automne
299534,Avengers: Endgame,Avengers: Endgame,en,Released,2019-04-24,380920000.0,2996000000.0,181,8.263,23857,91.756,"Adventure, Science Fiction, Action",United States of America,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",/or06FN3Dka5tukK1e9sl16pB3iy.jpg,False,2019.0,4.0,2.0,2.0,356000000,2800000000,2615080000.0,6.865168539325842,87.28571428571429,1,380.92,2996.0,2615.08,Blockbuster (>100M),Adventure,US,2010.0,Printemps
603,The Matrix,The Matrix,en,Released,1999-03-30,106470000.0,783344377.27,136,8.206,23815,78.564,"Action, Science Fiction",United States of America,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",/f89U3ADr1oiB1s9GkdPOEpXUk5H.jpg,False,1999.0,3.0,1.0,1.0,63000000,463517383,676874377.27,6.357418777777777,86.40827673123103,1,106.47,783.34437727,676.87437727,Blockbuster (>100M),Action,US,1990.0,Printemps
597,Titanic,Titanic,en,Released,1997-11-18,352000000.0,3984925741.28,194,7.9,23637,102.348,"Drama, Romance",United States of America,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,False,1997.0,11.0,4.0,1.0,200000000,2264162353,3632925741.28,10.320811765,91.16671117974374,1,352.0,3984.9257412800002,3632.9257412800002,Blockbuster (>100M),Drama,US,1990.0,Automne
475557,Joker,Joker,en,Released,2019-10-01,58850000.0,1149670361.74,122,8.168,23425,54.522,"Crime, Thriller, Drama","Canada, United States of America","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg,False,2019.0,10.0,4.0,1.0,55000000,1074458282,1090820361.74,18.535605127272728,94.88114141596797,1,58.85,1149.67036174,1090.82036174,Gros (50-100M),Crime,CA,2010.0,Automne
120,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,en,Released,2001-12-18,146940000.0,1376762015.1200001,179,8.402,23323,87.037,"Adventure, Fantasy, Action","New Zealand, United States of America","Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,False,2001.0,12.0,4.0,1.0,93000000,871368364,1229822015.1200001,8.36955230107527,89.32713145872255,1,146.94,1376.7620151200001,1229.82201512,Blockbuster (>100M),Adventure,New Zealand,2000.0,Hiver
122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,en,Released,2003-12-01,141940000.0,1689522358.29,201,8.474,22334,99.276,"Adventure, Fantasy, Action","New Zealand, United States of America","Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,False,2003.0,12.0,4.0,0.0,94000000,1118888979,1547582358.29,10.90307424468085,91.59880901820912,1,141.94,1689.52235829,1547.58235829,Blockbuster (>100M),Adventure,New Zealand,2000.0,Hiver
11324,Shutter Island,Shutter Island,en,Released,2010-02-14,100800000.0,371448000.0,138,8.2,22318,56.595,"Drama, Thriller, Mystery",United States of America,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,False,2010.0,2.0,1.0,6.0,80000000,294800000,270648000.0,2.685,72.86295793758481,1,100.8,371.448,270.648,Blockbuster (>100M),Drama,US,2010.0,Hiver
106646,The Wolf of Wall Street,The Wolf of Wall Street,en,Released,2013-12-25,117000000.0,458640000.0,180,8.035,22222,97.444,"Crime, Drama, Comedy",United States of America,"A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort's autobiography.",/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg,False,2013.0,12.0,4.0,2.0,100000000,392000000,341640000.0,2.92,74.48979591836735,1,117.0,458.64,341.64,Blockbuster (>100M),Crime,US,2010.0,Hiver
99861,Avengers: Age of Ultron,Avengers: Age of Ultron,en,Released,2015-04-22,419749999.99999994,1616214248.1,141,7.276,21754,96.565,"Action, Adventure, Science Fiction",United States of America,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",/4ssDuvEDkSArWEdyBl2X5EHvYKU.jpg,False,2015.0,4.0,2.0,2.0,365000000,1405403694,1196464248.1,2.850421079452055,74.0288145279345,1,419.74999999999994,1616.2142480999998,1196.4642480999998,Blockbuster (>100M),Action,US,2010.0,Printemps
271110,Captain America: Civil War,Captain America: Civil War,en,Released,2016-04-27,285000000.0,1316752914.2399998,147,7.4,21541,70.741,"Adventure, Action, Science Fiction",United States of America,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",/rAGiXaUfPzY7CDEyNKUofk3Kw2e.jpg,False,2016.0,4.0,2.0,2.0,250000000,1155046416,1031752914.2399998,3.620185663999999,78.3558481687891,1,285.0,1316.7529142399999,1031.7529142399999,Blockbuster (>100M),Adventure,US,2010.0,Printemps
49026,The Dark Knight Rises,The Dark Knight Rises,en,Released,2012-07-17,297500000.0,1286439131.53,165,7.777,21335,76.914,"Action, Crime, Drama, Thriller",United States of America,"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",/hr0L2aueqlP2BYUblTTjmtn0hw4.jpg,False,2012.0,7.0,3.0,1.0,250000000,1081041287,988939131.53,3.324165148,76.8741487484002,1,297.5,1286.43913153,988.9391315299999,Blockbuster (>100M),Action,US,2010.0,Été
68721,Iron Man 3,Iron Man 3,en,Released,2013-04-18,234000000.0,1422225329.85,130,6.928,21064,61.06,"Action, Adventure, Science Fiction",United States of America,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",/qhPtAc1TKbMPqNvcdXSOn9Bn7hZ.jpg,False,2013.0,4.0,2.0,3.0,200000000,1215577205,1188225329.85,5.077886025,83.54691095083508,1,234.0,1422.22532985,1188.22532985,Blockbuster (>100M),Action,US,2010.0,Printemps
284054,Black Panther,Black Panther,en,Released,2018-02-13,218000000.00000003,1471419430.47,135,7.39,21053,43.665,"Action, Adventure, Science Fiction",United States of America,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,False,2018.0,2.0,1.0,1.0,200000000,1349926083,1253419430.47,5.7496304149999995,85.18437398027518,1,218.00000000000003,1471.41943047,1253.41943047,Blockbuster (>100M),Action,US,2010.0,Hiver
284052,Doctor Strange,Doctor Strange,en,Released,2016-10-25,205199999.99999997,771031218.3599999,115,7.427,20935,70.535,"Action, Adventure, Fantasy",United States of America,"After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",/uGBVj3bEbCoZbDjjl9wTxcygko1.jpg,False,2016.0,10.0,4.0,1.0,180000000,676343174,565831218.3599999,2.757462077777778,73.38629161651005,1,205.19999999999996,771.0312183599999,565.8312183599999,Blockbuster (>100M),Action,US,2010.0,Automne
76341,Mad Max: Fury Road,Mad Max: Fury Road,en,Released,2015-05-13,172500000.0,435687090.99999994,121,7.582,20911,78.319,"Action, Adventure, Science Fiction","Australia, United States of America, South Africa","An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg,False,2015.0,5.0,2.0,2.0,150000000,378858340,263187090.99999994,1.5257222666666663,60.40736492695395,1,172.5,435.68709099999995,263.18709099999995,Blockbuster (>100M),Action,AU,2010.0,Printemps
16869,Inglourious Basterds,Inglourious Basterds,en,Released,2009-08-19,89600000.0,411465916.16,153,8.215,20746,59.162,"Drama, Thriller, War","France, Germany, United States of America","In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",/7sfbEnaARXDDhKm0CZ7D7uc2sbo.jpg,False,2009.0,8.0,3.0,2.0,70000000,321457747,321865916.16,3.5922535285714288,78.22419877782569,1,89.6,411.46591616,321.86591616000004,Gros (50-100M),Drama,FR,2000.0,Été
70160,The Hunger Games,The Hunger Games,en,Released,2012-03-12,89250000.0,826329721.56,142,7.193,20636,29.577,"Science Fiction, Adventure, Fantasy",United States of America,"Every year in the ruins of what was once North America, the nation of Panem forces each of its twelve districts to send a teenage boy and girl to compete in the Hunger Games.  Part twisted entertainment, part government intimidation tactic, the Hunger Games are a nationally televised event in which “Tributes” must fight with one another until one survivor remains.  Pitted against highly-trained Tributes who have prepared for these Games their entire lives, Katniss is forced to rely upon her sharp instincts as well as the mentorship of drunken former victor Haymitch Abernathy.  If she’s ever to return home to District 12, Katniss must make impossible choices in the arena that weigh survival against humanity and life against love. The world will be watching.",/yXCbOiVDCxO71zI7cuwBRXdftq8.jpg,False,2012.0,3.0,1.0,0.0,75000000,694394724,737079721.56,8.258596319999999,89.19922669228114,1,89.25,826.3297215599999,737.0797215599999,Gros (50-100M),Science Fiction,US,2010.0,Printemps
315635,Spider-Man: Homecoming,Spider-Man: Homecoming,en,Released,2017-07-05,194250000.00000003,976985285.6400001,133,7.345,20507,65.88,"Action, Adventure, Science Fiction, Drama",United States of America,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",/c24sv2weTHPsmDa7jEMN0m2P3RT.jpg,False,2017.0,7.0,3.0,2.0,175000000,880166924,782735285.6400001,4.02952528,80.11740782024661,1,194.25000000000003,976.9852856400001,782.7352856400001,Blockbuster (>100M),Action,US,2010.0,Été
672,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,en,Released,2002-11-13,155000000.0,1358867147.1000001,161,7.721,20390,121.699,"Adventure, Fantasy","United Kingdom, United States of America","Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,False,2002.0,11.0,4.0,2.0,100000000,876688482,1203867147.1000001,7.766884820000001,88.59343973906572,1,155.0,1358.8671471000002,1203.8671471000002,Blockbuster (>100M),Adventure,GB,2000.0,Automne
283995,Guardians of the Galaxy Vol. 2,Guardians of the Galaxy Vol. 2,en,Released,2017-04-19,222000000.00000003,958769216.6100001,137,7.624,20353,67.553,"Science Fiction, Adventure, Action",United States of America,The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,/y4MBh0EjBlMuOzv9axM4qJlmhzz.jpg,False,2017.0,4.0,2.0,2.0,200000000,863756051,736769216.6100001,3.318780255,76.84531416382518,1,222.00000000000003,958.7692166100002,736.7692166100002,Blockbuster (>100M),Science Fiction,US,2010.0,Printemps
121,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,en,Released,2002-12-18,122450000.0,1435745470.0,179,8.385,20274,78.73,"Adventure, Fantasy, Action","New Zealand, United States of America","Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,False,2002.0,12.0,4.0,2.0,79000000,926287400,1313295470.0,10.725156962025316,91.47132952472418,1,122.45,1435.74547,1313.29547,Blockbuster (>100M),Adventure,New Zealand,2000.0,Hiver
1771,Captain America: The First Avenger,Captain America: The First Avenger,en,Released,2011-07-22,170800000.0,452095124.28,124,6.995,20269,43.665,"Action, Adventure, Science Fiction",United States of America,"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",/vSNxAJTlD0r02V9sPYpOjqDZXUK.jpg,False,2011.0,7.0,3.0,4.0,140000000,370569774,281295124.28,1.646926957142857,62.220340183492674,1,170.8,452.09512428,281.29512428,Blockbuster (>100M),Action,US,2010.0,Été
297761,Suicide Squad,Suicide Squad,en,Released,2016-08-03,199499999.99999997,851405459.16,123,5.909,20097,35.356,"Action, Adventure, Fantasy",United States of America,"From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",/xFw9RXKZDvevAGocgBK0zteto4U.jpg,False,2016.0,8.0,3.0,2.0,175000000,746846894,651905459.16,3.2676965371428577,76.5681558822952,1,199.49999999999997,851.40545916,651.90545916,Blockbuster (>100M),Action,US,2010.0,Été
673,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,en,Released,2004-05-31,191100000.0,1161012694.3799999,141,8.02,20038,124.386,"Adventure, Fantasy","United Kingdom, United States of America","Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,False,2004.0,5.0,2.0,0.0,130000000,789804554,969912694.3799999,5.075419646153845,83.54023165077875,1,191.1,1161.0126943799999,969.9126943799998,Blockbuster (>100M),Adventure,GB,2000.0,Printemps
10195,Thor,Thor,en,Released,2011-04-21,183000000.0,548178473.96,115,6.768,20023,51.277,"Adventure, Fantasy, Action",United States of America,"Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",/prSfAi1xGrhLQNxVSUFh61xQ4Qy.jpg,False,2011.0,4.0,2.0,3.0,150000000,449326618,365178473.96000004,1.9955107866666668,66.61671176578282,1,183.0,548.17847396,365.17847396,Blockbuster (>100M),Adventure,US,2010.0,Printemps
